workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,arrival_rate
spec,pim-aware,host-cacheline,64,0,1.3,1,inorder,results/phaseA/spec_pim-aware_host-cacheline_bt64_cminorder_s0.csv,1000,1000,0,0,4643,2147,400,832,0.48076923,436694,101316,0,53038710784,0.9928866,0.98989899,0.99537574,0.12411082,0.12373737,0.12442197,443.17617,5287.6639,13437.86,
spec,pim-aware,host-cacheline,64,1,1.3,1,window,results/phaseA/spec_pim-aware_host-cacheline_bt64_s1.csv,1000,1000,0,0,4700,2154,414,832,0.49759615,450928,104647,0,54894411776,0.94308888,0.92,0.96315789,0.98916678,0.96527778,1,2467.5874,954.87372,2456.505,
spec,pim-aware,host-cacheline,64,2,1.3,1,window,results/phaseA/spec_pim-aware_host-cacheline_bt64_s2.csv,1000,1000,0,0,4323,2000,436,748,0.5828877,460319,107015,0,56086806528,0.9427175,0.92,0.96181888,0.98950555,0.96590909,1,2461.8323,960.0725,2471.645,
spec,pim-aware,host-cacheline,128,0,1.3,1,window,results/phaseA/spec_pim-aware_host-cacheline_bt128_s0.csv,1000,1000,0,0,4643,2147,209,416,0.50240385,424609,102184,0,107274207232,0.96279317,0.95,0.96875,0.9892268,0.96428571,1,2794.9142,826.71891,2070.8,
spec,pim-aware,host-cacheline,128,0,1.3,1,inorder,results/phaseA/spec_pim-aware_host-cacheline_bt128_cminorder_s0.csv,1000,1000,0,0,4643,2147,209,416,0.50240385,424609,102184,0,107274207232,0.99531325,0.99346405,0.99607073,0.12441416,0.12418301,0.12450884,453.95189,5178.7375,13181.14,
spec,pim-aware,host-cacheline,128,1,1.3,1,window,results/phaseA/spec_pim-aware_host-cacheline_bt128_s1.csv,1000,1000,0,0,4700,2154,218,416,0.52403846,438147,105457,0,111224963072,0.96281755,0.94736842,0.96875,0.98916678,0.96527778,1,2795.7195,852.85919,2220.72,
spec,pim-aware,host-cacheline,128,2,1.3,1,window,results/phaseA/spec_pim-aware_host-cacheline_bt128_s2.csv,1000,1000,0,0,4323,2000,225,416,0.54086538,447734,107855,0,113566597120,0.96308407,0.95,0.96875,0.98950555,0.96590909,1,2801.8529,848.0254,2206.1,
steady,contiguous,host-cacheline,4,0,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt4_s0.csv,1000,1000,0,3714,6587,2875,8913,12396,0.71902227,148713,0,0,0,0.95893387,0.9375,0.96850394,0.95955205,0.91666667,1,2647.985,928.55423,2363.48,
steady,contiguous,host-cacheline,4,0,1.3,1,inorder,results/phaseA/steady_contiguous_host-cacheline_bt4_cminorder_s0.csv,1000,1000,0,3714,6587,2875,8913,12396,0.71902227,148713,0,0,0,0.99466662,0.99193548,0.99593862,0.12433333,0.12399194,0.12449233,451.07604,5594.3339,14599.84,
steady,contiguous,host-cacheline,4,1,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt4_s1.csv,1000,1000,0,3739,6788,2945,9455,12979,0.72848447,155695,0,0,0,0.95954729,0.938,0.96875,0.96427243,0.91948413,1,2671.966,971.89199,2444.6,
steady,contiguous,host-cacheline,4,2,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt4_s2.csv,1000,1000,0,4616,7083,3115,8472,11897,0.7121123,143306,0,0,0,0.95873944,0.9375,0.96825397,0.96270355,0.91824301,1,2655.1845,934.69907,2410.2,
steady,contiguous,host-cacheline,16,0,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt16_s0.csv,1000,1000,0,3343,6485,2805,2274,3161,0.7193926,37546,0,0,0,0.95794312,0.9375,0.9673913,0.98892673,0.9625,1,2711.5558,895.82955,2324.2,
steady,contiguous,host-cacheline,16,0,1.3,1,inorder,results/phaseA/steady_contiguous_host-cacheline_bt16_cminorder_s0.csv,1000,1000,0,3343,6485,2805,2274,3161,0.7193926,37546,0,0,0,0.99469865,0.99186992,0.99592944,0.12433733,0.12398374,0.12449118,451.21848,5525.9791,14663.6,
steady,contiguous,host-cacheline,16,0,1.1,1,window,results/phaseA/steady_contiguous_host-cacheline_bt16_hr1.1_s0.csv,1000,1000,0,5472,7406,3263,1961,2675,0.73308411,37546,0,0,0,0.95824618,0.93478261,0.96721311,0.98979773,0.96590909,1,2719.164,923.35434,2367.2,
steady,contiguous,host-cacheline,16,0,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt16_s0.csv,1000,1000,0,3343,6485,2805,2274,3161,0.7193926,37546,0,0,0,0.95794312,0.9375,0.9673913,0.98892673,0.9625,1,2711.5558,895.82955,2324.2,
steady,contiguous,host-cacheline,16,0,1.6,1,window,results/phaseA/steady_contiguous_host-cacheline_bt16_hr1.6_s0.csv,1000,1000,0,682,5909,2534,2699,3891,0.69365202,37546,0,0,0,0.9580488,0.93478261,0.96746404,0.98914279,0.96428571,1,2715.6379,888.62435,2327.21,
steady,contiguous,host-cacheline,16,0,2,1,window,results/phaseA/steady_contiguous_host-cacheline_bt16_hr2.0_s0.csv,1000,1000,0,0,5836,2495,2786,4864,0.57277961,37546,0,0,0,0.95811898,0.9375,0.96756035,0.98912537,0.96354167,1,2715.8244,896.75134,2352.58,
steady,contiguous,host-cacheline,16,0,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt16_ar0.5_s0.csv,1000,1000,0,3786,6375,2769,2271,3161,0.71844353,37546,0,0,0,0.95785864,0.93391304,0.96759259,0.9893856,0.9655303,1,2713.1954,927.29242,2398.16,0.5
steady,contiguous,host-cacheline,16,0,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt16_ar1.0_s0.csv,1000,1000,0,3889,6373,2755,2311,3161,0.73109775,37546,0,0,0,0.9579144,0.93478261,0.96762939,0.98987214,0.96657051,1,2714.1942,903.02087,2319.79,1
steady,contiguous,host-cacheline,16,1,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt16_s1.csv,1000,1000,0,3846,6841,2980,2340,3244,0.72133169,39293,0,0,0,0.95822624,0.9375,0.96769231,0.99007597,0.96875,1,2720.0445,915.13836,2307.115,
steady,contiguous,host-cacheline,16,2,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt16_s2.csv,1000,1000,0,4573,7109,3117,2110,2995,0.70450751,36203,0,0,0,0.95788384,0.93478261,0.96759259,0.98927397,0.9625,1,2715.2884,924.41983,2393,
steady,contiguous,host-cacheline,64,0,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt64_s0.csv,1000,1000,0,2922,6405,2763,616,832,0.74038462,9774,0,0,0,0.96028495,0.94230769,0.96821911,0.98966884,0.96428571,1,2752.8801,887.88936,2299.84,
steady,contiguous,host-cacheline,64,0,1.3,1,inorder,results/phaseA/steady_contiguous_host-cacheline_bt64_cminorder_s0.csv,1000,1000,0,2922,6405,2763,616,832,0.74038462,9774,0,0,0,0.99499887,0.99270073,0.99601594,0.12437486,0.12408759,0.12450199,452.54979,5519.8173,14679.54,
steady,contiguous,host-cacheline,64,1,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt64_s1.csv,1000,1000,0,3570,6748,2922,632,832,0.75961538,10185,0,0,0,0.96040911,0.94230769,0.96825397,0.99005345,0.96759259,1,2756.4815,949.58214,2418.8,
steady,contiguous,host-cacheline,64,2,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt64_s2.csv,1000,1000,0,4734,7121,3127,538,748,0.71925134,9419,0,0,0,0.96063608,0.94230769,0.96842105,0.98918957,0.96354167,1,2758.8067,902.32319,2321.62,
steady,contiguous,host-cacheline,128,0,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt128_s0.csv,1000,1000,0,3283,6440,2801,307,416,0.73798077,5131,0,0,0,0.96329153,0.95,0.96875,0.98973929,0.96634615,1,2804.7737,889.32424,2274.9,
steady,contiguous,host-cacheline,128,0,1.3,1,inorder,results/phaseA/steady_contiguous_host-cacheline_bt128_cminorder_s0.csv,1000,1000,0,3283,6440,2801,307,416,0.73798077,5131,0,0,0,0.99537898,0.99358974,0.99607662,0.12442237,0.12419872,0.12450958,454.24276,5580.7394,14517,
steady,contiguous,host-cacheline,128,1,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt128_s1.csv,1000,1000,0,4022,6886,2983,316,416,0.75961538,5339,0,0,0,0.96351132,0.95238095,0.96875,0.99053966,0.96875,1,2812.0536,911.90774,2375.8,
steady,contiguous,host-cacheline,128,2,1.3,1,window,results/phaseA/steady_contiguous_host-cacheline_bt128_s2.csv,1000,1000,0,3698,6746,2937,304,416,0.73076923,4956,0,0,0,0.96327518,0.95,0.96875,0.99006107,0.96590909,1,2807.1055,911.21958,2418.8,
steady,paged,host-cacheline,4,0,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt4_s0.csv,1000,1000,0,0,5986,2574,9739,12396,0.78565666,148713,0,0,0,0.54169756,0.5,0.78956086,0.53778954,0.4930097,0.78483796,431.93428,6819.9516,19279.31,
steady,paged,host-cacheline,4,0,1.3,1,inorder,results/phaseA/steady_paged_host-cacheline_bt4_cminorder_s0.csv,1000,1000,0,0,5986,2574,9739,12396,0.78565666,148713,0,0,0,0.8999413,0.8875,0.96742339,0.11249266,0.1109375,0.12092792,225.93132,11462.986,31609.79,
steady,paged,host-cacheline,4,1,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt4_s1.csv,1000,1000,0,0,6134,2640,10625,12979,0.81863009,155695,0,0,0,0.53831586,0.5,0.78334166,0.53508032,0.49431381,0.78078664,423.95568,7201.9617,18950.435,
steady,paged,host-cacheline,4,2,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt4_s2.csv,1000,1000,0,0,6405,2780,9091,11897,0.76414222,143306,0,0,0,0.53375131,0.5,0.73667248,0.53015769,0.49341518,0.73077489,404.5238,7301.857,19346.125,
steady,paged,host-cacheline,16,0,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt16_s0.csv,1000,1000,0,0,5959,2560,2500,3161,0.79088896,37546,0,0,0,0.76945868,0.73913043,0.89709225,0.98939929,0.96527778,1,1226.2691,2097.3769,5732.1,
steady,paged,host-cacheline,16,0,1.3,1,inorder,results/phaseA/steady_paged_host-cacheline_bt16_cminorder_s0.csv,1000,1000,0,0,5959,2560,2500,3161,0.79088896,37546,0,0,0,0.97172771,0.96774194,0.98715787,0.12146596,0.12096774,0.12339473,366.03286,6847.7297,18450.57,
steady,paged,host-cacheline,16,0,1.1,1,window,results/phaseA/steady_paged_host-cacheline_bt16_hr1.1_s0.csv,1000,1000,0,0,6486,2824,2146,2675,0.80224299,37546,0,0,0,0.76611355,0.73913043,0.89407879,0.98985053,0.96428571,1,1211.5156,2150.5164,5776.585,
steady,paged,host-cacheline,16,0,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt16_s0.csv,1000,1000,0,0,5959,2560,2500,3161,0.79088896,37546,0,0,0,0.76945868,0.73913043,0.89709225,0.98939929,0.96527778,1,1226.2691,2097.3769,5732.1,
